Tarih,Tahmin_TRY,Alt_Sinir_TRY,Ust_Sinir_TRY
2025-10-30 12:00:00,2249.114861821875,1242.636146615043,3285.6678913302594
2025-10-30 13:00:00,2259.6349231838185,1248.5855107491054,3274.883233309715
2025-10-30 14:00:00,2440.7783549451833,1408.9027847521627,3399.145412972492
2025-10-30 15:00:00,2713.2577419241743,1651.4717489696768,3771.689839562229
2025-10-30 16:00:00,2986.8570776676606,1951.0059129631773,4028.1519813592026
2025-10-30 17:00:00,3203.8177263754515,2297.0188521069904,4288.134746179211
2025-10-30 18:00:00,3341.722891862835,2304.645787466087,4436.367788791559
2025-10-30 19:00:00,3393.837133029714,2377.8888679831293,4434.206795126602
2025-10-30 20:00:00,3359.5059573095896,2408.7959181959877,4457.178056891994
2025-10-30 21:00:00,3254.250341270578,2258.651805974076,4256.872037315581
2025-10-30 22:00:00,3118.6147913174086,2062.419381083361,4106.885653134406
2025-10-30 23:00:00,3002.561591074445,2037.2547977795368,4112.085441203338
2025-10-31 00:00:00,2931.294211194235,1934.8246301370275,3937.197173362447
2025-10-31 01:00:00,2885.845978247957,1882.7799922579472,3907.404016951256
2025-10-31 02:00:00,2824.141086276625,1796.078350980969,3811.490807394436
2025-10-31 03:00:00,2728.783096750814,1702.6287908887398,3745.243856125681
2025-10-31 04:00:00,2635.8553037720476,1548.3787372825523,3590.7902257857713
2025-10-31 05:00:00,2610.528853626988,1635.3688871128204,3618.373873378001
2025-10-31 06:00:00,2684.339059634231,1654.1064760733805,3721.177276675993
2025-10-31 07:00:00,2810.078937532698,1812.0482429789656,3842.341963979436
2025-10-31 08:00:00,2881.397343010782,1853.9758686864752,3941.32908463157
2025-10-31 09:00:00,2809.2541315432613,1757.7534637220883,3768.9596868798276
2025-10-31 10:00:00,2595.1105555908366,1577.2540165533485,3540.047999757029
2025-10-31 11:00:00,2339.7415259658815,1285.7706957439582,3301.519610055382
2025-10-31 12:00:00,2179.1406305156215,1162.7010401226173,3172.3063188818023
2025-10-31 13:00:00,2198.3857148471257,1124.1520881121733,3314.737515508196
2025-10-31 14:00:00,2388.3774331955306,1379.6087829791966,3479.8012026160104
2025-10-31 15:00:00,2669.61081043561,1620.8877704389172,3669.9520911181467
2025-10-31 16:00:00,2951.649169662887,1871.0161406867874,3984.060858255391
2025-10-31 17:00:00,3176.5133680154204,2197.6527916527257,4204.020406743233
2025-10-31 18:00:00,3321.5695707060167,2219.7171191140965,4352.026524699623
2025-10-31 19:00:00,3379.8720582804717,2359.9373731833803,4396.843420037392
2025-10-31 20:00:00,3350.5660539720084,2396.2420352880413,4321.818915843818
2025-10-31 21:00:00,3248.9853766815327,2261.496231240133,4287.837986000646
2025-10-31 22:00:00,3115.503489792154,2151.766951030528,4083.9220332284394
2025-10-31 23:00:00,2999.9305511823914,1910.840444732152,3974.764833419396
2025-11-01 00:00:00,2927.3394016785383,1840.1342897119725,3968.7589175051125
2025-11-01 01:00:00,2878.6565521403136,1847.0679915232972,3818.6379858416944
2025-11-01 02:00:00,2811.725220155649,1765.6803769856936,3860.559336718258
2025-11-01 03:00:00,2709.0955326689013,1696.613201596484,3706.4146641311663
2025-11-01 04:00:00,2606.8262461499494,1583.6620272697123,3663.1652970025407
2025-11-01 05:00:00,2570.093852673812,1558.0838797737051,3631.537742832477
2025-11-01 06:00:00,2630.4694963460597,1594.7259604537012,3656.2807338225666
2025-11-01 07:00:00,2740.8127142578614,1669.4450170671248,3754.617846709762
2025-11-01 08:00:00,2794.869377043992,1803.108488217824,3865.333021314796
2025-11-01 09:00:00,2703.726248124913,1710.3030509642128,3722.827561867736
2025-11-01 10:00:00,2469.0003805658916,1515.5331527870928,3556.198861794392
2025-11-01 11:00:00,2191.6499876125786,1137.3130078259012,3279.880635600253
2025-11-01 12:00:00,2007.8776941532522,958.5780651968848,3035.7964486931046
2025-11-01 13:00:00,2002.9939928414765,1025.454693109507,2913.260437599654
2025-11-01 14:00:00,2168.153336803949,1205.610870631198,3223.577704210383
2025-11-01 15:00:00,2424.1229380454383,1394.8436680380025,3345.1529186141497
2025-11-01 16:00:00,2680.7536579312355,1659.8899999066518,3653.1770090097652
2025-11-01 17:00:00,2880.365968524801,1906.8653027110392,3926.2530774949596
2025-11-01 18:00:00,3000.6342536415113,2008.8794869729013,3989.847304891233
2025-11-01 19:00:00,3034.925986257775,1983.5017276617725,4081.254212648827
